% Johnson, T.C.; Werne, J.P.; Brown, E.T.; Abbott, A.; Berke, M.; Steinman,
% B.A.; Halbur, J.; Contreras, S.; Grosshuesch, S.; Deino, A.L.; Lyons,
% R.P.; Scholz, C.A.; Schouten, S.; Sinninghe Damste, J.S. (2016): A
% Progressively Wetter Climate In Southern East Africa Over The Past 1.3
% Million Years. ­doi:10.1038/nature19065 Nature
%
% Re-scaled Ca 20 pt smth
% YBP	Ca 20 pt smth
38258.57587	1.1889
38290.21133	1.19235
38321.84679	1.1952
38353.48225	1.197725
38385.11771	1.2033
38416.75317	1.2005
38448.38864	1.1977
38480.0241	1.192375
38511.65956	1.183975
38543.29502	1.18035
38574.93048	1.1792
38606.56594	1.17415
38638.2014	1.1656
38669.83686	1.15725
38701.47232	1.1485
38733.10778	1.140275
38764.74324	1.13375
38796.3787	1.13505
38828.01416	1.128925
38859.64963	1.12345
38891.28509	1.1219
38922.92055	1.1182
38954.55601	1.115225
38986.19147	1.11105
39017.82693	1.10395
39049.46239	1.10405
39081.09785	1.105575
39112.73331	1.11015
39144.36877	1.110025
39176.00423	1.110375
39207.63969	1.1072
39239.27515	1.10985
39270.91062	1.111725
39302.54608	1.1129
39334.18154	1.10885
39365.817	1.112
39397.45246	1.108925
39429.08792	1.104075
39460.72338	1.102325
39587.26522	1.099225
39618.90068	1.095475
39650.53614	1.0902
39682.17161	1.0894
39713.80707	1.090775
39745.44253	1.0863
39777.07799	1.072775
39808.71345	1.06305
39840.34891	1.05875
39871.98437	1.05845
39903.61983	1.057775
39935.25529	1.062475
39966.89075	1.062375
39998.52621	1.06275
40030.16167	1.06475
40061.79713	1.063925
40188.33898	1.06665
40219.97444	1.065025
40251.6099	1.067825
40283.24536	1.065375
40314.88082	1.063925
40346.51628	1.06375
40378.15174	1.065675
40409.7872	1.062025
40441.42266	1.0552
40473.05812	1.0577
40504.69359	1.064525
40536.32905	1.070775
40567.96451	1.0695
40599.59997	1.068925
40631.23543	1.06935
40662.87089	1.06625
40694.50635	1.065625
40726.14181	1.06525
40757.77727	1.064825
40789.41273	1.0729
40821.04819	1.06875
40852.68365	1.07335
40884.31911	1.0779
40915.95458	1.087325
40947.59004	1.090025
40979.2255	1.09205
41010.86096	1.0947
41042.49642	1.094725
41074.13188	1.09675
41105.76734	1.0942
41137.4028	1.096875
41327.21556	1.096525
41358.85103	1.1005
41390.48649	1.103925
41406.30422	1.103025
41437.93968	1.102025
41469.57514	1.09935
41501.2106	1.102475
41532.84606	1.103275
41564.48152	1.101975
41596.11698	1.103825
41627.75244	1.1011
41659.3879	1.091625
41691.02336	1.073475
41722.65882	1.059
41754.29429	1.039225
41785.92975	1.016425
41817.56521	0.99805
41849.20067	0.978175
41880.83613	0.9571
41912.47159	0.941475
41944.10705	0.9238
41975.74251	0.906075
42984.91371	0.892625
43016.54917	0.88175
43048.18463	0.8704
43079.82009	0.856875
43111.45555	0.83965
43143.09101	0.823375
43174.72647	0.803825
43206.36193	0.783475
43237.99739	0.76875
43269.63286	0.758625
43301.26832	0.755325
43332.90378	0.756175
43364.53924	0.75695
43396.1747	0.76235
43427.81016	0.7651
43459.44562	0.768775
43491.08108	0.7748
43522.71654	0.77565
43554.352	0.7741
43585.98746	0.77535
43617.62292	0.77335
43649.25838	0.770075
43680.89385	0.7694
43712.52931	0.767525
43744.16477	0.76785
43775.80023	0.77315
43807.43569	0.7721
43839.07115	0.7773
43870.70661	0.77715
43902.34207	0.778725
43933.97753	0.779425
