%Depth	TC [%]	TIC [%]	TOC [%]
200.99	0.85	0.70	0.15
201.31	4.49	4.07	0.42
201.63	1.69	1.53	0.16
201.80	1.09	0.92	0.17
202.10	0.87	0.67	0.20
202.42	0.70	0.53	0.17
202.74	0.51	0.32	0.19
203.06	3.35	3.28	0.07
203.38	0.55	0.25	0.31
203.52	0.53	0.33	0.19
203.70	0.64	0.25	0.39
204.29	1.29	0.97	0.32
204.64	0.50	0.08	0.42
204.92	0.45	0.08	0.37
205.19	0.41	0.04	0.37
205.51	0.27	0.04	0.23
205.81	0.40	0.16	0.24
205.83	0.27	0.04	0.23
206.13	0.38	0.10	0.27
206.15	0.41	0.08	0.33
206.45	0.28	0.08	0.20
206.47	0.36	0.08	0.27
206.65	0.37	0.09	0.29
206.77	0.37	0.09	0.29
206.97	0.31	0.08	0.23
207.09	0.34	0.18	0.16
207.29	0.21	0.02	0.19
207.41	0.19	0.03	0.16
207.61	0.36	0.10	0.26
207.73	0.24	0.06	0.18
207.94	0.32	0.08	0.24
208.02	0.23	0.02	0.21
208.05	0.16	0.02	0.14
208.58	0.38	0.14	0.24
208.90	0.24	0.06	0.18
209.22	0.50	0.38	0.12
209.54	0.21	0.05	0.16
209.68	0.19	0.02	0.17
209.99	0.28	0.05	0.23
210.27	0.36	0.08	0.28
210.43	0.19	0.08	0.11
210.59	0.32	0.08	0.24
210.75	0.62	0.12	0.50
210.91	0.45	0.15	0.30
212.12	0.58	0.29	0.29
212.43	0.38	0.12	0.25
212.44	0.35	0.12	0.23
212.75	0.41	0.24	0.18
212.76	0.30	0.07	0.24
213.08	0.76	0.50	0.26
213.40	0.51	0.29	0.22
213.72	0.63	0.48	0.15
214.04	0.32	0.06	0.27
214.36	0.54	0.17	0.37
214.57	0.21	0.06	0.15
215.01	0.47	0.14	0.33
215.33	0.60	0.15	0.45
215.65	0.58	0.03	0.55
215.97	0.35	0.02	0.33
216.28	0.47	0.06	0.42
216.60	0.52	0.08	0.43
216.92	0.47	0.15	0.33
217.24	0.40	0.07	0.33
217.57	0.65	0.06	0.59
217.89	0.63	0.07	0.56
218.21	1.06	0.40	0.67
219.12	2.48	2.25	0.23
219.44	1.85	1.62	0.23
219.76	2.32	1.94	0.38
219.94	1.81	1.59	0.22
220.26	1.97	1.70	0.27
220.58	1.17	0.86	0.30
220.90	1.53	1.45	0.08
221.26	1.54	1.44	0.10
221.74	1.32	1.09	0.23
223.04	1.19	1.02	0.17
223.36	0.86	0.81	0.05
223.68	1.09	0.77	0.32
224.00	1.48	1.17	0.31
224.32	1.60	1.23	0.37
224.46	1.56	1.24	0.32
224.64	1.69	1.38	0.31
224.78	1.99	1.51	0.49
225.10	1.97	1.57	0.40
226.46	1.88	1.55	0.33
226.78	1.82	1.36	0.46
227.10	2.34	2.22	0.12
227.42	2.53	2.24	0.29
228.41	2.74	2.72	0.02
228.70	1.89	1.82	0.06
228.75	1.72	1.68	0.04
229.07	1.55	1.29	0.25
229.39	0.56	0.35	0.21
229.71	1.76	1.52	0.24
230.02	1.46	1.44	0.01
230.34	0.56	0.52	0.04
230.66	1.10	1.09	0.01
230.98	1.16	0.96	0.20
231.30	1.90	1.46	0.45
231.62	0.98	0.53	0.45
232.00	1.25	1.23	0.02
232.32	0.89	0.64	0.24
232.64	1.08	0.87	0.21
232.96	1.19	0.91	0.28
233.28	0.82	0.72	0.10
233.60	2.56	2.53	0.04
233.83	1.14	1.01	0.13
235.42	1.98	1.91	0.07
235.74	1.83	1.75	0.07
236.06	2.67	2.58	0.09
237.34	0.91	0.56	0.35
237.66	0.70	0.41	0.30
237.98	0.66	0.36	0.30
239.25	0.39	0.09	0.30
239.57	0.39	0.03	0.36
239.89	1.20	0.20	1.00
241.17	4.56	3.87	0.69
241.49	2.82	2.29	0.53
241.81	2.23	1.84	0.39
242.77	0.69	0.56	0.14
242.93	0.36	0.12	0.24
243.09	1.24	1.19	0.05
243.41	0.25	0.15	0.10
244.21	0.45	0.06	0.39
244.53	0.43	0.11	0.32
244.85	1.24	0.65	0.59
244.93	0.33	0.14	0.18
245.57	1.25	1.01	0.23
245.89	0.27	0.04	0.23
246.20	0.66	0.03	0.63
246.52	0.47	0.04	0.43
247.80	0.82	0.06	0.76
248.12	0.60	0.20	0.40
248.36	0.36	0.14	0.21
248.68	0.38	0.04	0.34
249.65	0.42	0.05	0.37
